CASE,HFO,LSFO,LNG,HFOLNG,Persian Gulf(LNG),Persian Gulf(method),Japan(LNG),Japan(method),Singapore(LNG),Singapore(method),Valid,Explanation
7363,5,0,15,0,3,Ship to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
7364,5,0,15,0,3,Ship to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
7365,5,0,15,0,3,Ship to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
7366,5,0,15,0,3,Ship to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
7367,5,0,15,0,3,Ship to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
7368,5,0,15,0,3,Ship to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
7369,5,0,15,0,3,Ship to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
7370,5,0,15,0,3,Ship to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
7371,5,0,15,0,3,Ship to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
7372,5,0,15,0,3,Ship to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
7373,5,0,15,0,3,Ship to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
7374,5,0,15,0,3,Ship to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
7375,5,0,15,0,3,Ship to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
7376,5,0,15,0,3,Ship to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
7377,5,0,15,0,3,Ship to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
7378,5,0,15,0,3,Ship to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
7379,5,0,15,0,3,Ship to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
7380,5,0,15,0,3,Ship to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
7381,5,0,15,0,3,Ship to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
7382,5,0,15,0,3,Ship to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
7383,5,0,15,0,3,Ship to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
7384,5,0,15,0,3,Ship to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
7385,5,0,15,0,3,Ship to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
7386,5,0,15,0,3,Ship to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
7387,5,0,15,0,3,Ship to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
7388,5,0,15,0,3,Ship to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
7389,5,0,15,0,3,Ship to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
7390,5,0,15,0,3,Ship to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
7391,5,0,15,0,3,Ship to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
7392,5,0,15,0,3,Ship to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
7393,5,0,15,0,3,Ship to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
7394,5,0,15,0,3,Shore to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
7395,5,0,15,0,3,Shore to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
7396,5,0,15,0,3,Shore to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
7397,5,0,15,0,3,Shore to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
7398,5,0,15,0,3,Shore to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
7399,5,0,15,0,3,Shore to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
7400,5,0,15,0,3,Shore to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
7401,5,0,15,0,3,Shore to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
7402,5,0,15,0,3,Shore to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
7403,5,0,15,0,3,Shore to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
7404,5,0,15,0,3,Shore to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
7405,5,0,15,0,3,Shore to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
7406,5,0,15,0,3,Shore to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
7407,5,0,15,0,3,Shore to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
7408,5,0,15,0,3,Shore to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
7409,5,0,15,0,3,Shore to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
7410,5,0,15,0,3,Shore to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
7411,5,0,15,0,3,Shore to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
7412,5,0,15,0,3,Shore to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
7413,5,0,15,0,3,Shore to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
7414,5,0,15,0,3,Shore to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
7415,5,0,15,0,3,Shore to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
7416,5,0,15,0,3,Shore to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
7417,5,0,15,0,3,Shore to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
7418,5,0,15,0,3,Shore to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
7419,5,0,15,0,3,Shore to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
7420,5,0,15,0,3,Shore to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
7421,5,0,15,0,3,Shore to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
7422,5,0,15,0,3,Shore to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
7423,5,0,15,0,3,Shore to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
7424,5,0,15,0,3,Shore to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
7425,5,0,15,0,3,Shore to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
7426,5,0,15,0,3,Shore to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
7427,5,0,15,0,3,Shore to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
7428,5,0,15,0,3,Shore to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
7429,5,0,15,0,3,Shore to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
7430,5,0,15,0,3,Shore to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
7431,5,0,15,0,3,Shore to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
7432,5,0,15,0,3,Shore to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
7433,5,0,15,0,3,Shore to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
7434,5,0,15,0,3,Shore to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
7435,5,0,15,0,3,Shore to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
7436,5,0,15,0,3,Shore to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
7437,5,0,15,0,3,Shore to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
7438,5,0,15,0,3,Shore to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
7439,5,0,15,0,3,Shore to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
7440,5,0,15,0,3,Shore to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
7441,5,0,15,0,3,Shore to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
7442,5,0,15,0,3,Shore to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
7443,5,0,15,0,3,Shore to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
7444,5,0,15,0,3,Shore to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
7445,5,0,15,0,3,Shore to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
7446,5,0,15,0,3,Shore to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
7447,5,0,15,0,3,Shore to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
7448,5,0,15,0,3,Shore to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
7449,5,0,15,0,3,Shore to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
7450,5,0,15,0,3,Shore to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
7451,5,0,15,0,3,Shore to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
7452,5,0,15,0,3,Shore to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
7453,5,0,15,0,3,Shore to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
7454,5,5,0,10,0,Truck to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
7455,5,5,0,10,0,Truck to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
7456,5,5,0,10,0,Truck to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
7457,5,5,0,10,0,Truck to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
7458,5,5,0,10,0,Truck to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
7459,5,5,0,10,0,Truck to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
7460,5,5,0,10,0,Truck to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
7461,5,5,0,10,0,Truck to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
7462,5,5,0,10,0,Truck to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
7463,5,5,0,10,0,Truck to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
7464,5,5,0,10,0,Truck to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
7465,5,5,0,10,0,Truck to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
7466,5,5,0,10,0,Truck to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
7467,5,5,0,10,0,Truck to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
7468,5,5,0,10,0,Truck to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
7469,5,5,0,10,0,Truck to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
7470,5,5,0,10,0,Truck to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
7471,5,5,0,10,0,Truck to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
7472,5,5,0,10,0,Truck to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
7473,5,5,0,10,0,Truck to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
7474,5,5,0,10,0,Truck to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
7475,5,5,0,10,0,Truck to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
7476,5,5,0,10,0,Truck to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
7477,5,5,0,10,0,Truck to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
7478,5,5,0,10,0,Truck to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
7479,5,5,0,10,0,Truck to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
7480,5,5,0,10,0,Truck to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
7481,5,5,0,10,0,Truck to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
7482,5,5,0,10,0,Truck to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
7483,5,5,0,10,0,Truck to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
7484,5,5,0,10,0,Truck to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
7485,5,5,0,10,0,Truck to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
7486,5,5,0,10,0,Truck to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
7487,5,5,0,10,0,Truck to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
7488,5,5,0,10,0,Truck to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
7489,5,5,0,10,0,Truck to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
7490,5,5,0,10,0,Truck to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
7491,5,5,0,10,0,Truck to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
7492,5,5,0,10,0,Truck to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
7493,5,5,0,10,0,Truck to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
7494,5,5,0,10,0,Truck to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
7495,5,5,0,10,0,Truck to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
7496,5,5,0,10,0,Truck to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
7497,5,5,0,10,0,Truck to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
7498,5,5,0,10,0,Truck to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
7499,5,5,0,10,0,Truck to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
7500,5,5,0,10,0,Truck to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
7501,5,5,0,10,0,Truck to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
7502,5,5,0,10,0,Truck to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
7503,5,5,0,10,0,Truck to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
7504,5,5,0,10,0,Truck to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
7505,5,5,0,10,0,Truck to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
7506,5,5,0,10,0,Truck to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
7507,5,5,0,10,0,Truck to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
7508,5,5,0,10,1,Truck to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
7509,5,5,0,10,1,Truck to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
7510,5,5,0,10,1,Truck to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
7511,5,5,0,10,1,Truck to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
7512,5,5,0,10,1,Truck to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
7513,5,5,0,10,1,Truck to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
7514,5,5,0,10,1,Truck to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
7515,5,5,0,10,1,Truck to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
7516,5,5,0,10,1,Truck to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
7517,5,5,0,10,1,Truck to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
7518,5,5,0,10,1,Truck to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
7519,5,5,0,10,1,Truck to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
7520,5,5,0,10,1,Truck to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
7521,5,5,0,10,1,Truck to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
7522,5,5,0,10,1,Truck to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
7523,5,5,0,10,1,Truck to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
7524,5,5,0,10,1,Truck to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
7525,5,5,0,10,1,Truck to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
7526,5,5,0,10,1,Truck to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
7527,5,5,0,10,1,Truck to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
7528,5,5,0,10,1,Truck to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
7529,5,5,0,10,1,Truck to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
7530,5,5,0,10,1,Truck to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
7531,5,5,0,10,1,Truck to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
7532,5,5,0,10,1,Truck to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
7533,5,5,0,10,1,Truck to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
7534,5,5,0,10,1,Truck to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
7535,5,5,0,10,1,Truck to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
7536,5,5,0,10,1,Truck to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
7537,5,5,0,10,1,Truck to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
7538,5,5,0,10,1,Truck to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
7539,5,5,0,10,1,Truck to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
7540,5,5,0,10,1,Truck to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
7541,5,5,0,10,1,Truck to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
7542,5,5,0,10,1,Truck to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
7543,5,5,0,10,1,Truck to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
7544,5,5,0,10,1,Truck to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
7545,5,5,0,10,1,Truck to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
7546,5,5,0,10,1,Truck to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
7547,5,5,0,10,1,Truck to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
7548,5,5,0,10,1,Truck to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
7549,5,5,0,10,1,Truck to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
7550,5,5,0,10,1,Truck to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
7551,5,5,0,10,1,Truck to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
7552,5,5,0,10,1,Truck to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
7553,5,5,0,10,1,Truck to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
7554,5,5,0,10,1,Truck to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
7555,5,5,0,10,1,Truck to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
7556,5,5,0,10,1,Truck to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
7557,5,5,0,10,1,Truck to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
7558,5,5,0,10,1,Truck to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
7559,5,5,0,10,1,Truck to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
7560,5,5,0,10,1,Truck to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
7561,5,5,0,10,1,Truck to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
7562,5,5,0,10,1,Truck to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
7563,5,5,0,10,1,Truck to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
7564,5,5,0,10,1,Truck to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
7565,5,5,0,10,1,Truck to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
7566,5,5,0,10,1,Truck to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
7567,5,5,0,10,1,Truck to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
7568,5,5,0,10,1,Ship to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
7569,5,5,0,10,1,Ship to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
7570,5,5,0,10,1,Ship to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
7571,5,5,0,10,1,Ship to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
7572,5,5,0,10,1,Ship to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
7573,5,5,0,10,1,Ship to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
7574,5,5,0,10,1,Ship to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
7575,5,5,0,10,1,Ship to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
7576,5,5,0,10,1,Ship to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
7577,5,5,0,10,1,Ship to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
7578,5,5,0,10,1,Ship to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
7579,5,5,0,10,1,Ship to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
7580,5,5,0,10,1,Ship to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
7581,5,5,0,10,1,Ship to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
7582,5,5,0,10,1,Ship to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
7583,5,5,0,10,1,Ship to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
7584,5,5,0,10,1,Ship to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
7585,5,5,0,10,1,Ship to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
7586,5,5,0,10,1,Ship to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
7587,5,5,0,10,1,Ship to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
7588,5,5,0,10,1,Ship to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
7589,5,5,0,10,1,Ship to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
7590,5,5,0,10,1,Ship to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
7591,5,5,0,10,1,Ship to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
7592,5,5,0,10,1,Ship to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
7593,5,5,0,10,1,Ship to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
7594,5,5,0,10,1,Ship to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
7595,5,5,0,10,1,Ship to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
7596,5,5,0,10,1,Ship to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
7597,5,5,0,10,1,Ship to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
7598,5,5,0,10,1,Ship to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
7599,5,5,0,10,1,Ship to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
7600,5,5,0,10,1,Ship to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
7601,5,5,0,10,1,Ship to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
7602,5,5,0,10,1,Ship to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
7603,5,5,0,10,1,Ship to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
7604,5,5,0,10,1,Ship to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
7605,5,5,0,10,1,Ship to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
7606,5,5,0,10,1,Ship to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
7607,5,5,0,10,1,Ship to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
7608,5,5,0,10,1,Ship to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
7609,5,5,0,10,1,Ship to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
7610,5,5,0,10,1,Ship to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
7611,5,5,0,10,1,Ship to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
7612,5,5,0,10,1,Ship to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
7613,5,5,0,10,1,Ship to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
7614,5,5,0,10,1,Ship to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
7615,5,5,0,10,1,Ship to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
7616,5,5,0,10,1,Ship to Ship,3,Ship to Ship,1,Ship to Ship,TRUE,
7617,5,5,0,10,1,Ship to Ship,3,Ship to Ship,1,Shore to Ship,TRUE,
7618,5,5,0,10,1,Ship to Ship,3,Ship to Ship,3,Truck to Ship,TRUE,
7619,5,5,0,10,1,Ship to Ship,3,Ship to Ship,3,Ship to Ship,TRUE,
7620,5,5,0,10,1,Ship to Ship,3,Ship to Ship,3,Shore to Ship,TRUE,
7621,5,5,0,10,1,Ship to Ship,3,Shore to Ship,0,Truck to Ship,TRUE,
7622,5,5,0,10,1,Ship to Ship,3,Shore to Ship,1,Truck to Ship,TRUE,
7623,5,5,0,10,1,Ship to Ship,3,Shore to Ship,1,Ship to Ship,TRUE,
7624,5,5,0,10,1,Ship to Ship,3,Shore to Ship,1,Shore to Ship,TRUE,
7625,5,5,0,10,1,Ship to Ship,3,Shore to Ship,3,Truck to Ship,TRUE,
7626,5,5,0,10,1,Ship to Ship,3,Shore to Ship,3,Ship to Ship,TRUE,
7627,5,5,0,10,1,Ship to Ship,3,Shore to Ship,3,Shore to Ship,TRUE,
7628,5,5,0,10,1,Shore to Ship,0,Truck to Ship,1,Truck to Ship,TRUE,
7629,5,5,0,10,1,Shore to Ship,0,Truck to Ship,1,Ship to Ship,TRUE,
7630,5,5,0,10,1,Shore to Ship,0,Truck to Ship,1,Shore to Ship,TRUE,
7631,5,5,0,10,1,Shore to Ship,0,Truck to Ship,3,Truck to Ship,TRUE,
7632,5,5,0,10,1,Shore to Ship,0,Truck to Ship,3,Ship to Ship,TRUE,
7633,5,5,0,10,1,Shore to Ship,0,Truck to Ship,3,Shore to Ship,TRUE,
7634,5,5,0,10,1,Shore to Ship,0,Ship to Ship,1,Truck to Ship,TRUE,
7635,5,5,0,10,1,Shore to Ship,0,Ship to Ship,1,Ship to Ship,TRUE,
7636,5,5,0,10,1,Shore to Ship,0,Ship to Ship,1,Shore to Ship,TRUE,
7637,5,5,0,10,1,Shore to Ship,0,Ship to Ship,3,Truck to Ship,TRUE,
7638,5,5,0,10,1,Shore to Ship,0,Ship to Ship,3,Ship to Ship,TRUE,
7639,5,5,0,10,1,Shore to Ship,0,Ship to Ship,3,Shore to Ship,TRUE,
7640,5,5,0,10,1,Shore to Ship,0,Shore to Ship,1,Truck to Ship,TRUE,
7641,5,5,0,10,1,Shore to Ship,0,Shore to Ship,1,Ship to Ship,TRUE,
7642,5,5,0,10,1,Shore to Ship,0,Shore to Ship,1,Shore to Ship,TRUE,
7643,5,5,0,10,1,Shore to Ship,0,Shore to Ship,3,Truck to Ship,TRUE,
7644,5,5,0,10,1,Shore to Ship,0,Shore to Ship,3,Ship to Ship,TRUE,
7645,5,5,0,10,1,Shore to Ship,0,Shore to Ship,3,Shore to Ship,TRUE,
7646,5,5,0,10,1,Shore to Ship,1,Truck to Ship,0,Truck to Ship,TRUE,
7647,5,5,0,10,1,Shore to Ship,1,Truck to Ship,1,Truck to Ship,TRUE,
7648,5,5,0,10,1,Shore to Ship,1,Truck to Ship,1,Ship to Ship,TRUE,
7649,5,5,0,10,1,Shore to Ship,1,Truck to Ship,1,Shore to Ship,TRUE,
7650,5,5,0,10,1,Shore to Ship,1,Truck to Ship,3,Truck to Ship,TRUE,
7651,5,5,0,10,1,Shore to Ship,1,Truck to Ship,3,Ship to Ship,TRUE,
7652,5,5,0,10,1,Shore to Ship,1,Truck to Ship,3,Shore to Ship,TRUE,
7653,5,5,0,10,1,Shore to Ship,1,Ship to Ship,0,Truck to Ship,TRUE,
7654,5,5,0,10,1,Shore to Ship,1,Ship to Ship,1,Truck to Ship,TRUE,
7655,5,5,0,10,1,Shore to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
7656,5,5,0,10,1,Shore to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
7657,5,5,0,10,1,Shore to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
7658,5,5,0,10,1,Shore to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
