CASE,HFO,LSFO,LNG,HFOLNG,Persian Gulf(LNG),Persian Gulf(method),Japan(LNG),Japan(method),Singapore(LNG),Singapore(method),Valid,Explanation
202,0,0,0,20,1,Shore to Ship,1,Ship to Ship,1,Ship to Ship,TRUE,
203,0,0,0,20,1,Shore to Ship,1,Ship to Ship,1,Shore to Ship,TRUE,
204,0,0,0,20,1,Shore to Ship,1,Ship to Ship,3,Truck to Ship,TRUE,
205,0,0,0,20,1,Shore to Ship,1,Ship to Ship,3,Ship to Ship,TRUE,
206,0,0,0,20,1,Shore to Ship,1,Ship to Ship,3,Shore to Ship,TRUE,
207,0,0,0,20,1,Shore to Ship,1,Shore to Ship,0,Truck to Ship,TRUE,
208,0,0,0,20,1,Shore to Ship,1,Shore to Ship,1,Truck to Ship,TRUE,
209,0,0,0,20,1,Shore to Ship,1,Shore to Ship,1,Ship to Ship,TRUE,
210,0,0,0,20,1,Shore to Ship,1,Shore to Ship,1,Shore to Ship,TRUE,
211,0,0,0,20,1,Shore to Ship,1,Shore to Ship,3,Truck to Ship,TRUE,
212,0,0,0,20,1,Shore to Ship,1,Shore to Ship,3,Ship to Ship,TRUE,
213,0,0,0,20,1,Shore to Ship,1,Shore to Ship,3,Shore to Ship,TRUE,
214,0,0,0,20,1,Shore to Ship,3,Truck to Ship,0,Truck to Ship,TRUE,
215,0,0,0,20,1,Shore to Ship,3,Truck to Ship,1,Truck to Ship,TRUE,
216,0,0,0,20,1,Shore to Ship,3,Truck to Ship,1,Ship to Ship,TRUE,
217,0,0,0,20,1,Shore to Ship,3,Truck to Ship,1,Shore to Ship,TRUE,
218,0,0,0,20,1,Shore to Ship,3,Truck to Ship,3,Truck to Ship,TRUE,
219,0,0,0,20,1,Shore to Ship,3,Truck to Ship,3,Ship to Ship,TRUE,
220,0,0,0,20,1,Shore to Ship,3,Truck to Ship,3,Shore to Ship,TRUE,
221,0,0,0,20,1,Shore to Ship,3,Ship to Ship,0,Truck to Ship,TRUE,
222,0,0,0,20,1,Shore to Ship,3,Ship to Ship,1,Truck to Ship,TRUE,
